Q1,Q2,CODES,OPT,R,TYPE,C1,Q
Outside school hours approximately how many hours per week is your child physically active or takes part in sports?,activity in afterschool,,,2==1 to 2 hours per week;5==8 to 10 hours per week,Categorical,,q09-y08-m
Outside school hours approximately how many hours per week is your child physically active or takes part in sports?,Summer,NN13,,2==1 to 2 hours per week;5==8 to 10 hours per week,Categorical,NN13,q09-y08-m
Outside school hours approximately how many hours per week is your child physically active or takes part in sports?,Winter,,,2==1 to 2 hours per week;5==8 to 10 hours per week,Categorical,,q09-y08-m
Approximately how many close friends does your child have?,does your child participate in various organized,,,1==Never or seldom,Categorical,,q09-y08-m
Outside of school or afterschool – approximately how many days per week activities?,does the child spend with friends or peers,,,2==1 day,Categorical,,q09-y08-m
Outside of school or afterschool – approximately how many days per week activities?,How many hours on a typical weekday,,,2==1 day,Categorical,,q09-y08-m
How many hours on a typical weekday does the child watch TV or DVD movies?,does the child play video games computer games,,,,Tick,,q09-y08-m
What is your child’s height and weight now at 8 years of age?,Height cm,NN24,,,Tick,NN24,q09-y08-m
What is your child’s height and weight now at 8 years of age?,Weight kg,NN25,,,Tick,NN25,q09-y08-m
Has your child ever had any of the following diseases or conditions?,Rheumatoid arthritis or chronic joint inflammation,NN26,,,Tick,NN26,q09-y08-m
Has your child ever had any of the following diseases or conditions?,Diabetes,NN27,,,Tick,NN27,q09-y08-m
Has your child ever had any of the following diseases or conditions?,Chronic fatigue syndrome or ME,NN28,,,Tick,NN28,q09-y08-m
Has your child ever had any of the following diseases or conditions?,Epilepsy,NN29,,,Tick,NN29,q09-y08-m
Has your child ever had any of the following diseases or conditions?,Cancer,NN30,,,Tick,NN30,q09-y08-m
Has your child ever had any of the following diseases or conditions?,Coeliac disease,NN31,,,Tick,NN31,q09-y08-m
Has your child ever had any of the following diseases or conditions?,Accidental injury with subsequent medical,NN32,,,Tick,NN32,q09-y08-m
Has your child ever had any of the following diseases or conditions?,treatment,,,,Tick,,q09-y08-m
Has your child ever had any of the following diseases or conditions?,Cerebral palsy,NN33,,,Tick,NN33,q09-y08-m
Has your child ever had any of the following diseases or conditions?,Other conditions or congenital syndromes,NN34,,,Tick,NN34,q09-y08-m
Has your child ever had any of the following diseases or conditions?,Other conditions describe:,,,,Tick,,q09-y08-m
Has your child ever had any of the following health problems?,No Yes currently,,,1==Not true;2==Sometimes true;3==True,Categorical,,q09-y08-m
Has your child ever had any of the following health problems?,Delayed psychomotor development,NN36; NN37; NN38; NN39;,,1==Not true;2==Sometimes true;3==True,Categorical,NN36,q09-y08-m
Has your child ever had any of the following health problems?,Delayed or abnormal language development,NN40; NN41; NN42; NN43;,,1==Not true;2==Sometimes true;3==True,Categorical,NN40,q09-y08-m
Has your child ever had any of the following health problems?,Hyperactivity,NN44; NN45; NN46; NN47;,,1==Not true;2==Sometimes true;3==True,Categorical,NN44,q09-y08-m
Has your child ever had any of the following health problems?,Concentration or attention difficulties,NN48; NN49; NN50; NN51;,,1==Not true;2==Sometimes true;3==True,Categorical,NN48,q09-y08-m
