Q1,Q2,CODES,OPT,R,TYPE,C1,Q
Outside school hours approximately how many hours per week is your child usually physically active or takes part in sports?,How many hours on a typical weekday,,,,Tick,,q11-y14-m
Has the child now or has s or he ever had any of the following diseases or health problems?,If yes:,,,1==no,Categorical,,q11-y14-m
Has the child now or has s or he ever had any of the following diseases or health problems?,When: Has the condition been,,,1==no,Categorical,,q11-y14-m
Has the child now or has s or he ever had any of the following diseases or health problems?,Confirmed by,,,1==no,Categorical,,q11-y14-m
Confirmed by physician?,Rheumatoid arthritis or chronic joint inflammation,UM25; UM26; UM27; UM28;,,2==yes now earlier 1==no;2==yes now earlier 1==no,Categorical,UM25,q11-y14-m
Confirmed by physician?,Rheumatoid arthritis or chronic joint inflammation,UM25; UM26; UM27; UM28;,,2==yes now earlier 1==no;2==yes,Categorical,UM25,q11-y14-m
Confirmed by physician?,Rheumatoid arthritis or chronic joint inflammation,UM25; UM26; UM27; UM28;,,1==no;2==yes now earlier 1==no,Categorical,UM25,q11-y14-m
Confirmed by physician?,Rheumatoid arthritis or chronic joint inflammation,UM25; UM26; UM27; UM28;,,1==no;2==yes,Categorical,UM25,q11-y14-m
Confirmed by physician?,Epilepsy,UM29; UM30; UM31; UM32;,,2==yes now earlier 1==no;2==yes now earlier 1==no,Categorical,UM29,q11-y14-m
Confirmed by physician?,Epilepsy,UM29; UM30; UM31; UM32;,,2==yes now earlier 1==no;2==yes,Categorical,UM29,q11-y14-m
Confirmed by physician?,Epilepsy,UM29; UM30; UM31; UM32;,,1==no;2==yes now earlier 1==no,Categorical,UM29,q11-y14-m
Confirmed by physician?,Epilepsy,UM29; UM30; UM31; UM32;,,1==no;2==yes,Categorical,UM29,q11-y14-m
Confirmed by physician?,Migraine,UM33; UM34; UM35; UM36;,,2==yes now earlier 1==no;2==yes now earlier 1==no,Categorical,UM33,q11-y14-m
Confirmed by physician?,Migraine,UM33; UM34; UM35; UM36;,,2==yes now earlier 1==no;2==yes,Categorical,UM33,q11-y14-m
Confirmed by physician?,Migraine,UM33; UM34; UM35; UM36;,,1==no;2==yes now earlier 1==no,Categorical,UM33,q11-y14-m
Confirmed by physician?,Migraine,UM33; UM34; UM35; UM36;,,1==no;2==yes,Categorical,UM33,q11-y14-m
Confirmed by physician?,Cancer,UM37; UM38; UM39; UM40;,,2==yes now earlier 1==no;2==yes now earlier 1==no,Categorical,UM37,q11-y14-m
Confirmed by physician?,Cancer,UM37; UM38; UM39; UM40;,,2==yes now earlier 1==no;2==yes,Categorical,UM37,q11-y14-m
Confirmed by physician?,Cancer,UM37; UM38; UM39; UM40;,,1==no;2==yes now earlier 1==no,Categorical,UM37,q11-y14-m
Confirmed by physician?,Cancer,UM37; UM38; UM39; UM40;,,1==no;2==yes,Categorical,UM37,q11-y14-m
Confirmed by physician?,Asthma,UM41; UM42; UM43; UM44;,,2==yes now earlier 1==no;2==yes now earlier 1==no,Categorical,UM41,q11-y14-m
Confirmed by physician?,Asthma,UM41; UM42; UM43; UM44;,,2==yes now earlier 1==no;2==yes,Categorical,UM41,q11-y14-m
Confirmed by physician?,Asthma,UM41; UM42; UM43; UM44;,,1==no;2==yes now earlier 1==no,Categorical,UM41,q11-y14-m
Confirmed by physician?,Asthma,UM41; UM42; UM43; UM44;,,1==no;2==yes,Categorical,UM41,q11-y14-m
Confirmed by physician?,Accidental injury,UM45; UM46; UM47; UM48;,,2==yes now earlier 1==no;2==yes now earlier 1==no,Categorical,UM45,q11-y14-m
Confirmed by physician?,Accidental injury,UM45; UM46; UM47; UM48;,,2==yes now earlier 1==no;2==yes,Categorical,UM45,q11-y14-m
Confirmed by physician?,Accidental injury,UM45; UM46; UM47; UM48;,,1==no;2==yes now earlier 1==no,Categorical,UM45,q11-y14-m
Confirmed by physician?,Accidental injury,UM45; UM46; UM47; UM48;,,1==no;2==yes,Categorical,UM45,q11-y14-m
Confirmed by physician?,Diabetes,UM49; UM513; UM514; UM50;,,2==yes now earlier 1==no;2==yes now earlier 1==no,Categorical,UM49,q11-y14-m
Confirmed by physician?,Diabetes,UM49; UM513; UM514; UM50;,,2==yes now earlier 1==no;2==yes,Categorical,UM49,q11-y14-m
Confirmed by physician?,Diabetes,UM49; UM513; UM514; UM50;,,1==no;2==yes now earlier 1==no,Categorical,UM49,q11-y14-m
Confirmed by physician?,Diabetes,UM49; UM513; UM514; UM50;,,1==no;2==yes,Categorical,UM49,q11-y14-m
Confirmed by physician?,Chronic fatigue syndrome or ME,UM51; UM52; UM53; UM54;,,2==yes now earlier 1==no;2==yes now earlier 1==no,Categorical,UM51,q11-y14-m
Confirmed by physician?,Chronic fatigue syndrome or ME,UM51; UM52; UM53; UM54;,,2==yes now earlier 1==no;2==yes,Categorical,UM51,q11-y14-m
Confirmed by physician?,Chronic fatigue syndrome or ME,UM51; UM52; UM53; UM54;,,1==no;2==yes now earlier 1==no,Categorical,UM51,q11-y14-m
Confirmed by physician?,Chronic fatigue syndrome or ME,UM51; UM52; UM53; UM54;,,1==no;2==yes,Categorical,UM51,q11-y14-m
Confirmed by physician?,Reduced hearing,UM55; UM56; UM57; UM58;,,2==yes now earlier 1==no;2==yes now earlier 1==no,Categorical,UM55,q11-y14-m
Confirmed by physician?,Reduced hearing,UM55; UM56; UM57; UM58;,,2==yes now earlier 1==no;2==yes,Categorical,UM55,q11-y14-m
Confirmed by physician?,Reduced hearing,UM55; UM56; UM57; UM58;,,1==no;2==yes now earlier 1==no,Categorical,UM55,q11-y14-m
Confirmed by physician?,Reduced hearing,UM55; UM56; UM57; UM58;,,1==no;2==yes,Categorical,UM55,q11-y14-m
Confirmed by physician?,Coeliac disease,UM59; UM60; UM61; UM62;,,2==yes now earlier 1==no;2==yes now earlier 1==no,Categorical,UM59,q11-y14-m
Confirmed by physician?,Coeliac disease,UM59; UM60; UM61; UM62;,,2==yes now earlier 1==no;2==yes,Categorical,UM59,q11-y14-m
Confirmed by physician?,Coeliac disease,UM59; UM60; UM61; UM62;,,1==no;2==yes now earlier 1==no,Categorical,UM59,q11-y14-m
Confirmed by physician?,Coeliac disease,UM59; UM60; UM61; UM62;,,1==no;2==yes,Categorical,UM59,q11-y14-m
Confirmed by physician?,Anorexia nervosa,UM63; UM64; UM65; UM66;,,2==yes now earlier 1==no;2==yes now earlier 1==no,Categorical,UM63,q11-y14-m
Confirmed by physician?,Anorexia nervosa,UM63; UM64; UM65; UM66;,,2==yes now earlier 1==no;2==yes,Categorical,UM63,q11-y14-m
Confirmed by physician?,Anorexia nervosa,UM63; UM64; UM65; UM66;,,1==no;2==yes now earlier 1==no,Categorical,UM63,q11-y14-m
Confirmed by physician?,Anorexia nervosa,UM63; UM64; UM65; UM66;,,1==no;2==yes,Categorical,UM63,q11-y14-m
Confirmed by physician?,Bulimia,UM67; UM68; UM69; UM70;,,2==yes now earlier 1==no;2==yes now earlier 1==no,Categorical,UM67,q11-y14-m
Confirmed by physician?,Bulimia,UM67; UM68; UM69; UM70;,,2==yes now earlier 1==no;2==yes,Categorical,UM67,q11-y14-m
Confirmed by physician?,Bulimia,UM67; UM68; UM69; UM70;,,1==no;2==yes now earlier 1==no,Categorical,UM67,q11-y14-m
Confirmed by physician?,Bulimia,UM67; UM68; UM69; UM70;,,1==no;2==yes,Categorical,UM67,q11-y14-m
Confirmed by physician?,An anxiety disorder,UM71; UM72; UM73; UM74;,,2==yes now earlier 1==no;2==yes now earlier 1==no,Categorical,UM71,q11-y14-m
Confirmed by physician?,An anxiety disorder,UM71; UM72; UM73; UM74;,,2==yes now earlier 1==no;2==yes,Categorical,UM71,q11-y14-m
Confirmed by physician?,An anxiety disorder,UM71; UM72; UM73; UM74;,,1==no;2==yes now earlier 1==no,Categorical,UM71,q11-y14-m
Confirmed by physician?,An anxiety disorder,UM71; UM72; UM73; UM74;,,1==no;2==yes,Categorical,UM71,q11-y14-m
Confirmed by physician?,ADHD,UM75; UM76; UM77; UM78;,,2==yes now earlier 1==no;2==yes now earlier 1==no,Categorical,UM75,q11-y14-m
Confirmed by physician?,ADHD,UM75; UM76; UM77; UM78;,,2==yes now earlier 1==no;2==yes,Categorical,UM75,q11-y14-m
Confirmed by physician?,ADHD,UM75; UM76; UM77; UM78;,,1==no;2==yes now earlier 1==no,Categorical,UM75,q11-y14-m
Confirmed by physician?,ADHD,UM75; UM76; UM77; UM78;,,1==no;2==yes,Categorical,UM75,q11-y14-m
Confirmed by physician?,Other serious illnesses,UM79; UM80; UM81; UM83;,,2==yes now earlier 1==no;2==yes now earlier 1==no,Categorical,UM79,q11-y14-m
Confirmed by physician?,Other serious illnesses,UM79; UM80; UM81; UM83;,,2==yes now earlier 1==no;2==yes,Categorical,UM79,q11-y14-m
Confirmed by physician?,Other serious illnesses,UM79; UM80; UM81; UM83;,,1==no;2==yes now earlier 1==no,Categorical,UM79,q11-y14-m
Confirmed by physician?,Other serious illnesses,UM79; UM80; UM81; UM83;,,1==no;2==yes,Categorical,UM79,q11-y14-m
Confirmed by physician?,Other serious illnesses describe:,,,2==yes now earlier 1==no;2==yes now earlier 1==no,Categorical,,q11-y14-m
Confirmed by physician?,Other serious illnesses describe:,,,2==yes now earlier 1==no;2==yes,Categorical,,q11-y14-m
Confirmed by physician?,Other serious illnesses describe:,,,1==no;2==yes now earlier 1==no,Categorical,,q11-y14-m
Confirmed by physician?,Other serious illnesses describe:,,,1==no;2==yes,Categorical,,q11-y14-m
Confirmed by physician?,Has the child,,,2==yes now earlier 1==no;2==yes now earlier 1==no,Categorical,,q11-y14-m
Confirmed by physician?,Has the child,,,2==yes now earlier 1==no;2==yes,Categorical,,q11-y14-m
Confirmed by physician?,Has the child,,,1==no;2==yes now earlier 1==no,Categorical,,q11-y14-m
Confirmed by physician?,Has the child,,,1==no;2==yes,Categorical,,q11-y14-m
Has the child now or has s or he ever had any of the following developmental problems?,If yes:,,,1==No;2==Yes,Categorical,,q11-y14-m
Has the child now or has s or he ever had any of the following developmental problems?,When:,,,1==No;2==Yes,Categorical,,q11-y14-m
Has the child now or has s or he ever had any of the following developmental problems?,Now In the past,,,1==No;2==Yes,Categorical,,q11-y14-m
Has the child now or has s or he ever had any of the following developmental problems?,General learning disabilities,UM87; UM88; UM89; UM90;,,1==No;2==Yes,Categorical,UM87,q11-y14-m
Has the child now or has s or he ever had any of the following developmental problems?,Delayed or abnormal language development,UM95; UM96; UM97; UM98;,,1==No;2==Yes,Categorical,UM95,q11-y14-m
Has the child now or has s or he ever had any of the following developmental problems?,Reading or writing difficulties,UM103; UM104; UM105; UM106;,,1==No;2==Yes,Categorical,UM103,q11-y14-m
Has the child now or has s or he ever had any of the following developmental problems?,Concentration- or attention difficulties,UM111; UM112; UM113; UM114;,,1==No;2==Yes,Categorical,UM111,q11-y14-m
Has the child now or has s or he ever had any of the following developmental problems?,Autistic traits or autism or Asperger’s Syndrome,UM119; UM120; UM121; UM122;,,1==No;2==Yes,Categorical,UM119,q11-y14-m
Has the child now or has s or he ever had any of the following developmental problems?,Behavioural problems,UM127; UM128; UM129; UM130;,,1==No;2==Yes,Categorical,UM127,q11-y14-m
Has the child now or has s or he ever had any of the following developmental problems?,Emotional difficulties,UM135; UM136; UM137; UM138;,,1==No;2==Yes,Categorical,UM135,q11-y14-m
Has the child now or has s or he ever had any of the following developmental problems?,Other developmental difficulties,UM143; UM144; UM145; UM147;,,1==No;2==Yes,Categorical,UM143,q11-y14-m
Has the child now or has s or he ever had any of the following developmental problems?,Other describe:,,,1==No;2==Yes,Categorical,,q11-y14-m
Has the child now or has s or he ever had any of the following developmental problems?,If now:,,,1==No;2==Yes,Categorical,,q11-y14-m
Do the difficulties affect the child’s daily life in any of the following areas?,family peers school,,,1==no 1==no 1==no;2==yes a bit 2==yes a bit 2==yes a bit;3==yes a lot 3==yes a lot 3==yes a lot;4==very often,Categorical,,q11-y14-m
Do the difficulties affect the child’s daily life in any of the following areas?,family peers school,,,1==no 1==no 1==no;2==yes a bit 2==yes a bit 2==yes a bit;3==often;4==very often,Categorical,,q11-y14-m
Do the difficulties affect the child’s daily life in any of the following areas?,family peers school,,,1==no 1==no 1==no;2==yes a bit 2==yes a bit 2==yes a bit;3==True;4==very often,Categorical,,q11-y14-m
Do the difficulties affect the child’s daily life in any of the following areas?,family peers school,,,1==no 1==no 1==no;2==yes a bit 2==yes a bit 2==yes a bit;3==Very true;4==very often,Categorical,,q11-y14-m
Do the difficulties affect the child’s daily life in any of the following areas?,family peers school,,,1==no 1==no 1==no;2==yes a bit 2==yes a bit 2==yes a bit;3==Certainly true;4==very often,Categorical,,q11-y14-m
Do the difficulties affect the child’s daily life in any of the following areas?,family peers school,,,1==no 1==no 1==no;2==Sometimes;3==yes a lot 3==yes a lot 3==yes a lot;4==very often,Categorical,,q11-y14-m
Do the difficulties affect the child’s daily life in any of the following areas?,family peers school,,,1==no 1==no 1==no;2==Sometimes;3==often;4==very often,Categorical,,q11-y14-m
Do the difficulties affect the child’s daily life in any of the following areas?,family peers school,,,1==no 1==no 1==no;2==Sometimes;3==True;4==very often,Categorical,,q11-y14-m
Do the difficulties affect the child’s daily life in any of the following areas?,family peers school,,,1==no 1==no 1==no;2==Sometimes;3==Very true;4==very often,Categorical,,q11-y14-m
Do the difficulties affect the child’s daily life in any of the following areas?,family peers school,,,1==no 1==no 1==no;2==Sometimes;3==Certainly true;4==very often,Categorical,,q11-y14-m
Do the difficulties affect the child’s daily life in any of the following areas?,family peers school,,,1==no 1==no 1==no;2==Sometimes true;3==yes a lot 3==yes a lot 3==yes a lot;4==very often,Categorical,,q11-y14-m
Do the difficulties affect the child’s daily life in any of the following areas?,family peers school,,,1==no 1==no 1==no;2==Sometimes true;3==often;4==very often,Categorical,,q11-y14-m
Do the difficulties affect the child’s daily life in any of the following areas?,family peers school,,,1==no 1==no 1==no;2==Sometimes true;3==True;4==very often,Categorical,,q11-y14-m
Do the difficulties affect the child’s daily life in any of the following areas?,family peers school,,,1==no 1==no 1==no;2==Sometimes true;3==Very true;4==very often,Categorical,,q11-y14-m
Do the difficulties affect the child’s daily life in any of the following areas?,family peers school,,,1==no 1==no 1==no;2==Sometimes true;3==Certainly true;4==very often,Categorical,,q11-y14-m
Do the difficulties affect the child’s daily life in any of the following areas?,family peers school,,,1==no 1==no 1==no;2==Somewhat true;3==yes a lot 3==yes a lot 3==yes a lot;4==very often,Categorical,,q11-y14-m
