Q1,Q2,CODES,OPT,R,TYPE,C1,Q
Where have you been to antenatal check- ups?,Public health centre,CC12,,Number of times to public health centre,Numeric,CC12,q03-w30-m
Where have you been to antenatal check- ups?,Public health centre,CC12,,Number of times to doctor’s surgery,Numeric,CC12,q03-w30-m
Where have you been to antenatal check- ups?,Public health centre,CC12,,Number,Numeric,CC12,q03-w30-m
Where have you been to antenatal check- ups?,Public health centre,CC12,,Number of times to clinic,Numeric,CC12,q03-w30-m
Where have you been to antenatal check- ups?,Doctor’s surgery,CC14,,Number of times to public health centre,Numeric,CC14,q03-w30-m
Where have you been to antenatal check- ups?,Doctor’s surgery,CC14,,Number of times to doctor’s surgery,Numeric,CC14,q03-w30-m
Where have you been to antenatal check- ups?,Doctor’s surgery,CC14,,Number,Numeric,CC14,q03-w30-m
Where have you been to antenatal check- ups?,Doctor’s surgery,CC14,,Number of times to clinic,Numeric,CC14,q03-w30-m
Where have you been to antenatal check- ups?,Hospital clinic,CC16,,Number of times to public health centre,Numeric,CC16,q03-w30-m
Where have you been to antenatal check- ups?,Hospital clinic,CC16,,Number of times to doctor’s surgery,Numeric,CC16,q03-w30-m
Where have you been to antenatal check- ups?,Hospital clinic,CC16,,Number,Numeric,CC16,q03-w30-m
Where have you been to antenatal check- ups?,Hospital clinic,CC16,,Number of times to clinic,Numeric,CC16,q03-w30-m
Who has examined you each time?,Midwife,CC18,,Number of times examined by midwife,Numeric,CC18,q03-w30-m
Who has examined you each time?,Midwife,CC18,,Number of times examined by general practitioner,Numeric,CC18,q03-w30-m
Who has examined you each time?,Midwife,CC18,,Number of times examined by gynaecologist,Numeric,CC18,q03-w30-m
Who has examined you each time?,Midwife,CC18,,Number,Numeric,CC18,q03-w30-m
Who has examined you each time?,Midwife,CC18,,Number of times examined by public health nurse,Numeric,CC18,q03-w30-m
Who has examined you each time?,General practitioner,CC20,,Number of times examined by midwife,Numeric,CC20,q03-w30-m
Who has examined you each time?,General practitioner,CC20,,Number of times examined by general practitioner,Numeric,CC20,q03-w30-m
Who has examined you each time?,General practitioner,CC20,,Number of times examined by gynaecologist,Numeric,CC20,q03-w30-m
Who has examined you each time?,General practitioner,CC20,,Number,Numeric,CC20,q03-w30-m
Who has examined you each time?,General practitioner,CC20,,Number of times examined by public health nurse,Numeric,CC20,q03-w30-m
Who has examined you each time?,Gynaecologist,CC22,,Number of times examined by midwife,Numeric,CC22,q03-w30-m
Who has examined you each time?,Gynaecologist,CC22,,Number of times examined by general practitioner,Numeric,CC22,q03-w30-m
Who has examined you each time?,Gynaecologist,CC22,,Number of times examined by gynaecologist,Numeric,CC22,q03-w30-m
Who has examined you each time?,Gynaecologist,CC22,,Number,Numeric,CC22,q03-w30-m
Who has examined you each time?,Gynaecologist,CC22,,Number of times examined by public health nurse,Numeric,CC22,q03-w30-m
Who has examined you each time?,Public heath nurse,CC24,,Number of times examined by midwife,Numeric,CC24,q03-w30-m
Who has examined you each time?,Public heath nurse,CC24,,Number of times examined by general practitioner,Numeric,CC24,q03-w30-m
Who has examined you each time?,Public heath nurse,CC24,,Number of times examined by gynaecologist,Numeric,CC24,q03-w30-m
Who has examined you each time?,Public heath nurse,CC24,,Number,Numeric,CC24,q03-w30-m
Who has examined you each time?,Public heath nurse,CC24,,Number of times examined by public health nurse,Numeric,CC24,q03-w30-m
Is your doctor male or female? How many times have you gone to him or her?,General practitioner: Female,CC26,,Number of times to female general practitioner,Numeric,CC26,q03-w30-m
Is your doctor male or female? How many times have you gone to him or her?,General practitioner: Female,CC26,,Number of times to male general practitioner,Numeric,CC26,q03-w30-m
Is your doctor male or female? How many times have you gone to him or her?,General practitioner: Female,CC26,,Number,Numeric,CC26,q03-w30-m
Is your doctor male or female? How many times have you gone to him or her?,General practitioner: Female,CC26,,Number of times to male gynaecologist,Numeric,CC26,q03-w30-m
Is your doctor male or female? How many times have you gone to him or her?,General practitioner: Male,CC28,,Number of times to female general practitioner,Numeric,CC28,q03-w30-m
Is your doctor male or female? How many times have you gone to him or her?,General practitioner: Male,CC28,,Number of times to male general practitioner,Numeric,CC28,q03-w30-m
Is your doctor male or female? How many times have you gone to him or her?,General practitioner: Male,CC28,,Number,Numeric,CC28,q03-w30-m
Is your doctor male or female? How many times have you gone to him or her?,General practitioner: Male,CC28,,Number of times to male gynaecologist,Numeric,CC28,q03-w30-m
Is your doctor male or female? How many times have you gone to him or her?,Gynaecologist: Female,CC30,,Number of times to female general practitioner,Numeric,CC30,q03-w30-m
Is your doctor male or female? How many times have you gone to him or her?,Gynaecologist: Female,CC30,,Number of times to male general practitioner,Numeric,CC30,q03-w30-m
