Q1,Q2,CODES,OPT,R,TYPE,C1,Q
What type of milk has your baby been given since he or she was 6 months old?,Child’s age in months,,,,Tick,,q05-m18-m
What type of milk has your baby been given since he or she was 6 months old?,Milk type,,6 to 8; 9 to 11; 12 to 14; 15 to 18;,,Tick,,q05-m18-m
What type of milk has your baby been given since he or she was 6 months old?,Breast milk,EE12; EE13; EE14; EE15;,,,Tick,EE12,q05-m18-m
What type of milk has your baby been given since he or she was 6 months old?,Formula,EE16; EE17; EE18; EE19;,,,Tick,EE16,q05-m18-m
What type of milk has your baby been given since he or she was 6 months old?,Formula in the case of milk intolerance,EE20; EE21; EE22; EE23;,,,Tick,EE20,q05-m18-m
What type of milk has your baby been given since he or she was 6 months old?,Whole milk,EE24; EE25; EE26; EE27;,,,Tick,EE24,q05-m18-m
What type of milk has your baby been given since he or she was 6 months old?,Low-fat milk,EE28; EE29; EE30; EE31;,,,Tick,EE28,q05-m18-m
What type of milk has your baby been given since he or she was 6 months old?,Extra low-fat milk,EE32; EE33; EE34; EE35;,,,Tick,EE32,q05-m18-m
What type of milk has your baby been given since he or she was 6 months old?,Skimmed milk,EE36; EE37; EE38; EE39;,,,Tick,EE36,q05-m18-m
What type of milk has your baby been given since he or she was 6 months old?,Yogurt with active lactobacillus all types,EE40; EE41; EE42; EE43;,,,Tick,EE40,q05-m18-m
What type of milk has your baby been given since he or she was 6 months old?,Other yogurt,EE44; EE45; EE46; EE47;,,,Tick,EE44,q05-m18-m
What type of milk has your baby been given since he or she was 6 months old?,Other types of sour milk,EE48; EE49; EE50; EE51;,,,Tick,EE48,q05-m18-m
How often do you give your child the following to drink now that he or she is 18 months old?,frequency which is most applicable on average.,,,1==Never;2==Less than once a week;3==1 to 3 times a week;4==4 to 6 times a week;5==1 to 2 times in 24 hours;6==3 to 4 times in 24 hours;7==5 or more times in 24 hours,Categorical,,q05-m18-m
