Q1,Q2,CODES,OPT,R,TYPE,C1,Q
What is your child’s height and weight at 3 years?,weight at 2 years and,,15 to 18,,Tick,,q06-m36-m
What is your child’s height and weight at 3 years?,they were taken by you.,,,,Tick,,q06-m36-m
What is your child’s height and weight at 3 years?,Day month year measurement,,,,Tick,,q06-m36-m
How many months old was your child when he or she took his or her first steps unaided?,months,GG27,,,Tick,GG27,q06-m36-m
How many months old was your child when he or she took his or her first steps unaided?,Still not walking unaided,GG28,,,Tick,GG28,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,No Yes has now Yes has,,,1==No;2==Yes,Categorical,,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,previously,,,1==No;2==Yes,Categorical,,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Impaired hearing,GG29; GG30; GG31; GG32;,,1==No;2==Yes,Categorical,GG29,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Impaired vision,GG33; GG34; GG35; GG36;,,1==No;2==Yes,Categorical,GG33,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Delayed motor development,GG37; GG38; GG39; GG40;,,1==No;2==Yes,Categorical,GG37,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Cerebral palsy,GG41; GG42; GG43; GG44;,,1==No;2==Yes,Categorical,GG41,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Joint problems,GG45; GG46; GG47; GG48;,,1==No;2==Yes,Categorical,GG45,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Diabetes,GG49; GG50; GG51; GG52;,,1==No;2==Yes,Categorical,GG49,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Gained too little weight,GG53; GG54; GG55; GG56;,,1==No;2==Yes,Categorical,GG53,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Gained too much weight,GG57; GG58; GG59; GG60;,,1==No;2==Yes,Categorical,GG57,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Heart defect,GG61; GG62; GG63; GG64;,,1==No;2==Yes,Categorical,GG61,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Testicles not descended into scrotum,GG65; GG66; GG67; GG68;,,1==No;2==Yes,Categorical,GG65,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Asthma,GG69; GG70; GG71; GG72;,,1==No;2==Yes,Categorical,GG69,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Allergy affecting eyes or nose eg hay fever,GG73; GG74; GG75; GG76;,,1==No;2==Yes,Categorical,GG73,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Atopic eczema,GG77; GG78; GG79; GG80;,,1==No;2==Yes,Categorical,GG77,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Other type of eczema,GG81; GG82; GG83; GG84;,,1==No;2==Yes,Categorical,GG81,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Frequent diarrhea,GG566; GG567; GG568; GG569;,,1==No;2==Yes,Categorical,GG566,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Frequent stomach pains,GG570; GG571; GG572; GG573;,,1==No;2==Yes,Categorical,GG570,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Food allergy or intolerance,GG85; GG86; GG87; GG88;,,1==No;2==Yes,Categorical,GG85,q06-m36-m
Has your child suffered any long-term illness or health problems since the age of 18 months?,Other gastrointestinal problems,GG89; GG574; GG90; GG575; GG91; GG576; GG92; GG577;,,1==No;2==Yes,Categorical,GG89,q06-m36-m
