Q1,Q2,CODES,OPT,R,TYPE,C1,Q
What is your child’s height and weight nowadays?,Height cm,,,,Tick,,q07-y05-m
What is your child’s height and weight nowadays?,Weight kg,,,,Tick,,q07-y05-m
Who do you live with?,Spouse,LL447,,,Tick,LL447,q07-y05-m
Who do you live with?,Cohabitant,LL448,,,Tick,LL448,q07-y05-m
Who do you live with?,Other adults,LL449,,,Tick,LL449,q07-y05-m
Who do you live with?,Children of others,LL450,,,Tick,LL450,q07-y05-m
Who do you live with?,None,LL451,,,Tick,LL451,q07-y05-m
Who do you live with?,Spouse or cohabitant,LL16,,,Tick,LL16,q07-y05-m
Who do you live with?,Your parents,LL17,,,Tick,LL17,q07-y05-m
Who do you live with?,Your parents in law,LL18,,,Tick,LL18,q07-y05-m
Who do you live with?,Children,LL19,,,Tick,LL19,q07-y05-m
Who do you live with?,None,LL20,,,Tick,LL20,q07-y05-m
Who do you live with?,Other specify,LL424,,,Tick,LL424,q07-y05-m
Do you live with the child’s father?,separated or moved apart,,,,Tick,,q07-y05-m
Where is the child looked after in the daytime these days?,At a family child care,LL455,,Number hours per week,Numeric,LL455,q07-y05-m
Where is the child looked after in the daytime these days?,Center care Private,LL457,,Number hours per week,Numeric,LL457,q07-y05-m
Where is the child looked after in the daytime these days?,Centre care Public,LL459,,Number hours per week,Numeric,LL459,q07-y05-m
Where is the child looked after in the daytime these days?,Other family than mother or father,LL461,,Number hours per week,Numeric,LL461,q07-y05-m
Where is the child looked after in the daytime these days?,With a child minder or in outdoor nursery,LL31,,Number hours per week,Numeric,LL31,q07-y05-m
Where is the child looked after in the daytime these days?,At a family child care,LL32,,Number hours per week,Numeric,LL32,q07-y05-m
Where is the child looked after in the daytime these days?,Center care Private,LL33,,Number hours per week,Numeric,LL33,q07-y05-m
Where is the child looked after in the daytime these days?,Centre care Public,LL34,,Number hours per week,Numeric,LL34,q07-y05-m
Where is the child looked after in the daytime these days?,Other,LL35,,Number hours per week,Numeric,LL35,q07-y05-m
Where is the child looked after in the daytime these days?,Other specify:,LL425,,Number hours per week,Numeric,LL425,q07-y05-m
Where is the child looked after in the daytime these days?,hours,LL37,,Number hours per week,Numeric,LL37,q07-y05-m
