Q1,Q2,CODES,OPT,R,TYPE,C1,Q
During the last year before you became pregnant did you lose your period for more than three months?,Only in version A,AA1687,,Number;1==No;2==Yes;3==Yes for other reasons,Categorical,AA1687,q01-w15-m
During the last year before you became pregnant did you lose your period for more than three months?,Only in version A,AA1687,,Number;1==No;2==Yes due to an earlier pregnancy;3==Yes for other reasons,Categorical,AA1687,q01-w15-m
During the last year before you became pregnant did you lose your period for more than three months?,Only in version A,AA1687,,Number;1==No Yes fy;2==Yes;3==Yes for other reasons,Categorical,AA1687,q01-w15-m
During the last year before you became pregnant did you lose your period for more than three months?,Only in version A,AA1687,,Number;1==No Yes fy;2==Yes due to an earlier pregnancy;3==Yes for other reasons,Categorical,AA1687,q01-w15-m
During the last year before you became pregnant did you lose your period for more than three months?,Day,AA20,0 to 99,Number;1==No;2==Yes;3==Yes for other reasons,Categorical,AA20,q01-w15-m
During the last year before you became pregnant did you lose your period for more than three months?,Day,AA20,0 to 99,Number;1==No;2==Yes due to an earlier pregnancy;3==Yes for other reasons,Categorical,AA20,q01-w15-m
During the last year before you became pregnant did you lose your period for more than three months?,Day,AA20,0 to 99,Number;1==No Yes fy;2==Yes;3==Yes for other reasons,Categorical,AA20,q01-w15-m
During the last year before you became pregnant did you lose your period for more than three months?,Day,AA20,0 to 99,Number;1==No Yes fy;2==Yes due to an earlier pregnancy;3==Yes for other reasons,Categorical,AA20,q01-w15-m
During the last year before you became pregnant did you lose your period for more than three months?,Month,AA21,0 to 99,Number;1==No;2==Yes;3==Yes for other reasons,Categorical,AA21,q01-w15-m
During the last year before you became pregnant did you lose your period for more than three months?,Month,AA21,0 to 99,Number;1==No;2==Yes due to an earlier pregnancy;3==Yes for other reasons,Categorical,AA21,q01-w15-m
During the last year before you became pregnant did you lose your period for more than three months?,Month,AA21,0 to 99,Number;1==No Yes fy;2==Yes;3==Yes for other reasons,Categorical,AA21,q01-w15-m
During the last year before you became pregnant did you lose your period for more than three months?,Month,AA21,0 to 99,Number;1==No Yes fy;2==Yes due to an earlier pregnancy;3==Yes for other reasons,Categorical,AA21,q01-w15-m
During the last year before you became pregnant did you lose your period for more than three months?,Year,AA22,0 to 9999,Number;1==No;2==Yes;3==Yes for other reasons,Categorical,AA22,q01-w15-m
During the last year before you became pregnant did you lose your period for more than three months?,Year,AA22,0 to 9999,Number;1==No;2==Yes due to an earlier pregnancy;3==Yes for other reasons,Categorical,AA22,q01-w15-m
During the last year before you became pregnant did you lose your period for more than three months?,Year,AA22,0 to 9999,Number;1==No Yes fy;2==Yes;3==Yes for other reasons,Categorical,AA22,q01-w15-m
During the last year before you became pregnant did you lose your period for more than three months?,Year,AA22,0 to 9999,Number;1==No Yes fy;2==Yes due to an earlier pregnancy;3==Yes for other reasons,Categorical,AA22,q01-w15-m
Did your last menstrual period come at the expected time?,Duration,AA25,,1==No;2==Uncertain;3==Less than usual,Categorical,AA25,q01-w15-m
Did your last menstrual period come at the expected time?,Duration,AA25,,1==No;2==More than usual;3==Less than usual,Categorical,AA25,q01-w15-m
Did your last menstrual period come at the expected time?,Duration,AA25,,1==Certain;2==Uncertain;3==Less than usual,Categorical,AA25,q01-w15-m
Did your last menstrual period come at the expected time?,Duration,AA25,,1==Certain;2==More than usual;3==Less than usual,Categorical,AA25,q01-w15-m
Did your last menstrual period come at the expected time?,Duration,AA25,,1==As usual;2==Uncertain;3==Less than usual,Categorical,AA25,q01-w15-m
Did your last menstrual period come at the expected time?,Duration,AA25,,1==As usual;2==More than usual;3==Less than usual,Categorical,AA25,q01-w15-m
Did your last menstrual period come at the expected time?,Amount of bleeding,AA26,,1==No;2==Uncertain;3==Less than usual,Categorical,AA26,q01-w15-m
Did your last menstrual period come at the expected time?,Amount of bleeding,AA26,,1==No;2==More than usual;3==Less than usual,Categorical,AA26,q01-w15-m
Did your last menstrual period come at the expected time?,Amount of bleeding,AA26,,1==Certain;2==Uncertain;3==Less than usual,Categorical,AA26,q01-w15-m
Did your last menstrual period come at the expected time?,Amount of bleeding,AA26,,1==Certain;2==More than usual;3==Less than usual,Categorical,AA26,q01-w15-m
Did your last menstrual period come at the expected time?,Amount of bleeding,AA26,,1==As usual;2==Uncertain;3==Less than usual,Categorical,AA26,q01-w15-m
Did your last menstrual period come at the expected time?,Amount of bleeding,AA26,,1==As usual;2==More than usual;3==Less than usual,Categorical,AA26,q01-w15-m
Did your last menstrual period come at the expected time?,Menstrual pains,AA27,,1==No;2==Uncertain;3==Less than usual,Categorical,AA27,q01-w15-m
Did your last menstrual period come at the expected time?,Menstrual pains,AA27,,1==No;2==More than usual;3==Less than usual,Categorical,AA27,q01-w15-m
Did your last menstrual period come at the expected time?,Menstrual pains,AA27,,1==Certain;2==Uncertain;3==Less than usual,Categorical,AA27,q01-w15-m
Did your last menstrual period come at the expected time?,Menstrual pains,AA27,,1==Certain;2==More than usual;3==Less than usual,Categorical,AA27,q01-w15-m
Did your last menstrual period come at the expected time?,Menstrual pains,AA27,,1==As usual;2==Uncertain;3==Less than usual,Categorical,AA27,q01-w15-m
Did your last menstrual period come at the expected time?,Menstrual pains,AA27,,1==As usual;2==More than usual;3==Less than usual,Categorical,AA27,q01-w15-m
Have you or your partner at any time during the last year used the following methods to avoid becoming pregnant?,Condom,AA28,,,Tick,AA28,q01-w15-m
Have you or your partner at any time during the last year used the following methods to avoid becoming pregnant?,Diaphragm,AA29,,,Tick,AA29,q01-w15-m
Have you or your partner at any time during the last year used the following methods to avoid becoming pregnant?,IUD,AA30,,,Tick,AA30,q01-w15-m
Have you or your partner at any time during the last year used the following methods to avoid becoming pregnant?,Hormone IUD,AA31,,,Tick,AA31,q01-w15-m
Have you or your partner at any time during the last year used the following methods to avoid becoming pregnant?,Hormone injection,AA32,,,Tick,AA32,q01-w15-m
Have you or your partner at any time during the last year used the following methods to avoid becoming pregnant?,Mini pill,AA33,,,Tick,AA33,q01-w15-m
Have you or your partner at any time during the last year used the following methods to avoid becoming pregnant?,Pill,AA34,,,Tick,AA34,q01-w15-m
Have you or your partner at any time during the last year used the following methods to avoid becoming pregnant?,Spermicides,AA35,,,Tick,AA35,q01-w15-m
Have you or your partner at any time during the last year used the following methods to avoid becoming pregnant?,Safe period,AA36,,,Tick,AA36,q01-w15-m
Have you or your partner at any time during the last year used the following methods to avoid becoming pregnant?,Withdrawal,AA37,,,Tick,AA37,q01-w15-m
Have you or your partner at any time during the last year used the following methods to avoid becoming pregnant?,No such methods,AA38,,,Tick,AA38,q01-w15-m
Have you or your partner at any time during the last year used the following methods to avoid becoming pregnant?,Other,AA39,,,Tick,AA39,q01-w15-m
Have you or your partner at any time during the last year used the following methods to avoid becoming pregnant?,AA40,AA40; AA40; AA40,,,Tick,AA40,q01-w15-m
Have you or your partner at any time during the last year used the following methods to avoid becoming pregnant?,Other specify,,,,Tick,,q01-w15-m
Have you or your partner at any time during the last year used the following methods to avoid becoming pregnant?,AA1584,AA1584; AA1584; AA1584,,,Tick,AA1584,q01-w15-m
If you have used the pill or mini-pill how long have you used them?,Pill,AA41,,1==Less than one year;2==1 to 3 years;3==4 to 6 years;4==7 to 9 years;5==10 years or more,Categorical,AA41,q01-w15-m
If you have used the pill or mini-pill how long have you used them?,Mini-pill,AA42,,1==Less than one year;2==1 to 3 years;3==4 to 6 years;4==7 to 9 years;5==10 years or more,Categorical,AA42,q01-w15-m
Were you taking the pill or mini-pill during the last 4 months before this pregnancy?,AA44,AA44; AA44; AA44,,1==No;2==Yes,Categorical,AA44,q01-w15-m
If yes how long before your last menstrual period did you stop taking the pill or mini-pill?,weeks,AA45,,Number 0 - 99,Numeric,AA45,q01-w15-m
Was this pregnancy planned?,AA46,AA46; AA46; AA46,,1==No;2==Yes,Categorical,AA46,q01-w15-m
If yes how many months did you have regular intercourse without contraception before you became pregnant?,In version B C E,,,Number of months if more than 3;1==Less than 1 month;2==1 to 2 months;3==3 months or more,Categorical,,q01-w15-m
If yes how many months did you have regular intercourse without contraception before you became pregnant?,In version B C E,,,Number of months if more than 3;1==Less than 1 month;2==2 to 3 months;3==3 months or more,Categorical,,q01-w15-m
