QuestionPart2,ItemCode
"",NN350
"",NN351
Have you had 6 or more drinks on one occasion,NN352
Have you found that you were not able to stop drinking once you had started,NN353
Have you failed to do what was normally expected from you because of drinking,NN354
Have you needed a first drink in the morning to get yourself going after a heavy drinking session,NN355
Have you had a feeling of guilt or remorse after drinking alcohol,NN356
Have you been unable to remember what happened the night before because you had been drinking alcohol,NN357
Have you or someone else been injured as a result of your drinking,NN358
Has a relative friend or doctor or other health worker been concerned about your drinking or suggested that you cut down,NN359
In most ways my life is close to my ideal,NN317
The conditions of my life are excellent,NN318
I am satisfied with my life,NN319
So far i have gotten the important things i want in life,NN320
If i could live my life over i would change almost nothing,NN321
Feeling fearful,NN325
Nervousness or shakiness inside,NN326
Feeling hopeless about the future,NN327
Feeling blue,NN328
Worrying too much about things,NN329
Feeling everything is an effort,NN330
Feeling tense or keyed up,NN331
Suddenly scared for no reason,NN332
You let your child know when he or she is doing a good job with something,NN335
You threaten to punish your child and then do not actually punish him or her,NN336
Your child fails to leave a note or let you know where he or she is going,NN337
Your child talks you out of being punished after he or she has done something wrong,NN338
Your child stays out in the evening after the time he or she is supposed to be home,NN339
You compliment your child when he or she has done something well,NN340
You praise your child if he or she behaves well,NN341
Your child is out with friends you dont know,NN342
You let your child out of a punishment early e g lift restrictions earlier than you originally said,NN343
