QuestionPart2,ItemCode
I have a close relationship with my spouse or partner,DD784
My partner and i have problems in our relationship,DD785
I am very happy with our relationship,DD786
My partner is generally understanding,DD787
I often consider ending our relationship,DD788
I am satisfied with my relationship with my partner,DD789
We frequently disagree on important decisions,DD790
I have been lucky in my choice of a partner,DD791
We agree on how our child should be raised,DD792
I believe my partner is satisfied with our relationship,DD793
Feel glad about something,DD794
Feel happy,DD795
Feel joyful like everything is going your way everything is rosy,DD796
Feel like screaming at somebody or banging on something,DD797
Feel angry irritated annoyed,DD798
Feel mad at somebody,DD799
In most ways my life is close to my ideal,DD800
The conditions of my life are excellent,DD801
I am satisfied with my life,DD802
So far i have gotten the important things i want in life,DD803
If i could live my life over i would change almost nothing,DD804
Have blamed yourself unnecessarily when things went wrong,DD827
Have been anxious or worried for no good reason,DD828
Have felt scared or panicky for no very good reason,DD829
Have been so unhappy that you have had difficulty sleeping,DD830
Have felt sad or miserable,DD831
Have been so unhappy that you have been crying,DD832
I have a positive attitude toward myself,DD833
I feel completely useless at times,DD834
I feel that i do not have much to be proud about,DD835
I feel that i am a valuable person as good as anyone else,DD836
Feeling fearful,DD837
Nervousness or shakiness inside,DD838
Feeling hopeless about the future,DD839
Feeling blue,DD840
Worrying too much about things,DD841
Feeling everything is an effort,DD842
Feeling tense or keyed up,DD843
Suddenly scared for no reason,DD844
Have you had problems at work or where you study,DD805
Have you had financial problems,DD807
Have you been divorced separated or ended the relationship with your partner,DD809
Have you had any problems or conflicts with your family friends or neighbors,DD811
Have you been seriously worried that there is something wrong with your child,DD813
Have you been seriously ill or injured,DD815
Has anyone close to you been seriously ill or injured,DD817
Have you been involved in a serious traffic accident house fire or robbery,DD819
Have you lost someone close to you,DD821
Have you been pressurized into having sexual intercourse,DD823
Other,DD825
