QuestionPart2,ItemCode
Fear of embarrassment cause me to avoid doing things or speaking to people,NN314
I avoid activities in which i am the centre of attention,NN315
Being embarrassed or looking stupid are among my worst fears,NN316
Felt miserable or unhappy,NN68
Felt so tired that they just sat around and did nothing,NN69
Was very restless,NN70
Didnt enjoy anything at all,NN71
Felt they was no good anymore,NN72
Cried a lot,NN73
Hated him or herself,NN74
Thought they could never be as good as other kids,NN75
Felt lonely,NN76
Thought nobody really loved him or her,NN77
Felt they was a bad person,NN78
Felt they did everything wrong,NN79
Found it hard to think or concentrate,NN80
Makes an all out effort,NN83
Obeys without protests,NN84
Takes himself or herself into consideration first,NN85
Forgets anything and everything,NN87
Prefers to leave work to others,NN89
Does everything to get their own way,NN91
Is not very thorough,NN93
Finishes tasks to the very end,NN95
Imposes her or his will,NN96
Is easily incensed by things,NN101
Carries out work to the last detail,NN106
Doesnt envy others,NN108
Bullies threatens or intimidates others,NN111
Initiates physical fights,NN112
Has been physically cruel to others,NN113
Has harassed or injured animals physically,NN114
Has stolen items of nontrivial value without confronting a victim e g shoplifting,NN115
Has deliberately destroyed others property,NN116
Has been truant from school,NN117
Has used an object that can cause serious physical harm to others e g a bat stone knife heavy toy,NN118
Fails to give close attention to details or makes careless mistakes in schoolwork,NN119
Has difficulty sustaining attention in tasks or play activities,NN120
Does not seem to listen when spoken to directly,NN121
Does not follow through on instructions and fails to finish school work chores or duties not due to oppositional behaviour or failure to understand instructions,NN122
Has difficulty organizing tasks and activities,NN123
Avoids dislikes or is reluctant to engage in tasks that require sustained mental effort such as schoolwork or homework,NN124
Loses things necessary for tasks or activities pencils books toys,NN125
Is easily distracted,NN126
Is forgetful in daily activities,NN127
Fidgets with hands or feet or squirms in seat sits uneasily,NN128
Leaves seat in classroom or in other situations in which remaining seated is expected e g at the table or in group gathering,NN129
Runs about or climbs excessively in situations in which it is inappropriate,NN130
Has difficulty playing or engaging in leisure activities quietly,NN131
Is on the go or acts as if driven by a motor,NN132
Talks excessively,NN133
Blurts out answers before questions have been completed,NN134
Has difficulty awaiting turn,NN135
Interrupts or intrudes on others such as in conversation or play,NN136
Loses temper tantrums,NN137
Argues with adults,NN138
Actively defies or refuses to comply with adults requests or rules,NN139
Deliberately annoys people,NN140
Blames others for their mistakes or misbehaviour,NN141
Is touchy or easily annoyed by others,NN142
Is angry and resentful,NN143
Is spiteful or vindictive,NN144
My child gets really frightened for no reason at all,NN145
My child is afraid to be alone in the house,NN146
People tell my child that he or she worries too much,NN147
My child is scared to go to school,NN148
My child is shy,NN149
Is he or she now able to talk using short phrases or sentences,NN150
Do you have a to and fro conversation with her or him that involves taking turns or building on what you have said,NN151
Do they ever use odd phrases or say the same thing over and over in almost exactly the same way either phrases that they hears other people use or ones that they makes up,NN152
Does your child ever use socially inappropriate questions or statements for example does your child ever regularly ask personal questions or make personal comments at awkward times,NN153
Does your child ever get their pronouns mixed up e g saying you or he or she for i,NN154
Does your child ever use words that he or she seems to have invented or made up her or himself put things in odd indirect ways or use metaphorical ways of saying things e g saying hot rain for steam,NN155
Does your child ever say the same thing over and over in exactly the same way or insist that you say the same thing over and over again,NN156
Does your child ever have things that he or she seems to have to do in a very particular way or order or rituals that the child insists that you go through,NN157
Does your childs facial expression usually seem appropriate to the particular situation as far as you can tell,NN158
Does your child ever use your hand like a tool or as if it were part of their own body e g pointing with your finger or putting your hand on a doorknob to get you to open the door,NN159
Does your child ever have any interests that preoccupy him or her and might seem odd to other people e g traffic lights drainpipes or timetables,NN160
Does your child ever seem to be more interested in parts of a toy or an object e g spinning the wheels of a car rather than in using the object as it was intended,NN161
Does your child ever have any special interests that are unusual in their intensity but otherwise appropriate for their age and peer group e g trains or dinosaurs,NN162
Does your child ever seem to be unusually interested in the sight feel sound taste or smell of things or people,NN163
Does your child ever have any mannerisms or odd ways of moving their hands or fingers such as flapping or moving their fingers in front of their eyes,NN164
Does your child ever have any complicated movements of their whole body such as spinning or repeatedly bouncing up and down,NN165
Does your child ever injure himself or herself deliberately such as by biting their arm or banging their head,NN166
Does your child ever have any objects other than a soft toy or comfort blanket that he or she has to carry around,NN167
Does your child have any particular friends or a best friend,NN168
Does your child ever talk with you just to be friendly rather than to get something,NN169
Does your child ever spontaneously copy you or other people or what you are doing such as vacuuming gardening or mending things,NN170
Does your child ever spontaneously point at things around him or her just to show you things not because he or she wants them,NN171
Does your child ever use gestures other than pointing or pulling your hand to let you know what he or she wants,NN172
Does your child nod their head to indicate yes,NN173
Does your child shake their head to indicate no,NN174
Does your child usually look at you directly in the face when doing things with you or talking with you,NN175
Does your child smile back if someone smiles at him or her,NN176
Does your child ever show you things that interest him or her to engage your attention,NN177
Does your child ever offer to share things other than food with you,NN178
Does your child ever seem to want you to join in their enjoyment of something,NN179
Does your child ever try to comfort you when you are sad or hurt,NN180
If your child wants something or wants help does he or she look at you and use gestures with sounds or words to get your attention,NN181
Does your child show a normal range of facial expressions,NN182
Does your child ever spontaneously join in and try to copy the actions in social games such as the mulberry bush or london bridge is falling down,NN183
Does your child play any pretend or make believe games,NN184
Does your child seem interested in other children of approximately the same age whom he or she does not know,NN185
Does your child respond positively when another child approaches him or her,NN186
If you come into a room and start talking to your child without calling their name does he or she usually look up and pay attention to you,NN187
Does your child ever play imaginative games with another child in such a way that you can tell that each child understands what the other is pretending,NN188
Does your child play cooperatively in games that need some form of joining in with a group of other children such as hide and seek or ball games,NN189
My child enjoys tasting new foods,NN190
My child gets full up easily,NN191
My child eats more when she is happy,NN192
Given the choice my child would eat most of the time,NN193
My child eats slowly,NN194
My child eats more when worried,NN195
My child takes more than 30 minutes to finish a meal,NN196
My child gets full before their meal is finished,NN197
My child enjoys a wide variety of foods,NN198
My child is interested in tasting food they hasnt tasted before,NN199
If given the chance my child would always have food in their mouth,NN200
My child eats more when anxious,NN201
If allowed to my child would eat too much,NN202
My child eats less when upset,NN203
My child leaves food on their plate at the end of a meal,NN204
My child eats less when angry,NN205
My child eats more and more slowly during the course of a meal,NN206
My child eats more when annoyed,NN207
Forgets words they knows e g instead of rhinoceros may say you know the animal with the horn on its nose,NN211
Uses terms like he or it without making it clear what they is talking about for instance when talking about a film might say he was really great without explaining who he is,NN212
Misses the point of jokes and puns though may be amused by nonverbal humour such as slapstick,NN213
Can be hard to tell if they is talking about something real or make believe,NN214
Leaves out past tense ed endings on words may for instance say john kick the ball instead of john kicked the ball or eva buy soda instead of eva bought soda,NN215
Takes in just 1 2 words in a sentence and so misinterprets what has been said e g if someone says i want to go skating next week they may think theyve been skating or want to go now,NN216
Gets sequence of events muddled up when telling a story or describing event e g if describing a film might talk about the end before the beginning,NN217
Doesnt explain what they is talking about to someone who doesnt share their experiences for instance might talk about jon without explaining who he is,NN218
It is hard to make sense of what they is saying even though the words are clearly spoken,NN219
Uses appropriate language to talk about what they plans to do in the future e g what they will do tomorrow or plans for going on holiday,NN220
You can have an enjoyable interesting conversation with him or her,NN221
Produces long and complicated sentences such as when we went to the park i had a go on the swings i saw this man standing on the corner,NN222
Uses words that refer to whole classes of objects rather than a specific item e g refers to a table chair and drawers as furniture or to apples bananas and pears as fruit,NN223
Speaks fluently and clearly producing all speech sounds accurately and without hesitation,NN224
Explains a past event clearly e g what they did at school or what happened at a football game,NN225
When answering a question provides enough information without being over precise,NN226
Confuses words with similar meaning e g shirt sweater jacket,NN227
Has difficulty understanding the meaning of common words,NN228
Has difficulty answering questions as quickly as other children,NN229
Is often searching for the right words,NN230
Uses incomplete sentences,NN231
Uses short sentences when they answers questions,NN232
Has difficulty retelling a story they has heard,NN233
Forgets words they knows the meaning of,NN374
